borough,neighborhood,building_class_category,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,sale_year,age
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1404,1728,1960,220231,2017-10-16T00:00:00Z,2017,57
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2500,1654,1920,419000,2018-03-20T00:00:00Z,2018,98
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,5000,1665,1910,265000,2017-10-05T00:00:00Z,2017,107
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,5000,1665,1910,473500,2018-07-09T00:00:00Z,2018,108
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2500,1823,1964,430000,2017-11-10T00:00:00Z,2017,53
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2522,1296,1925,4e+05,2018-01-25T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1953,600,1925,290000,2018-03-16T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,3200,1442,1925,475000,2018-07-16T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1629,1728,1950,405500,2018-08-13T00:00:00Z,2018,68
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2320,1438,1920,470000,2018-06-08T00:00:00Z,2018,98
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,8530,1200,1920,765000,2018-01-29T00:00:00Z,2018,98
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2875,2202,1930,339690,2017-09-22T00:00:00Z,2017,87
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2875,2202,1930,560000,2018-08-27T00:00:00Z,2018,88
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10475,1,0,1,2961,1653,1925,310000,2018-07-10T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10475,1,0,1,2961,1859,1925,465000,2018-07-30T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10475,1,0,1,4750,1540,1920,438375,2018-05-18T00:00:00Z,2018,98
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10475,1,0,1,2375,352,1910,150000,2018-03-29T00:00:00Z,2018,108
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10475,1,0,1,3750,1712,1955,304500,2018-05-31T00:00:00Z,2018,63
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10475,1,0,1,2500,2145,1932,485706,2017-12-13T00:00:00Z,2017,85
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10475,1,0,1,3742,1596,1925,430000,2017-11-02T00:00:00Z,2017,92
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10475,1,0,1,5000,1250,1940,175500,2018-06-07T00:00:00Z,2018,78
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,1726,2139,1899,375000,2018-06-07T00:00:00Z,2018,119
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,2276,1958,1910,475000,2017-11-17T00:00:00Z,2017,107
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,1640,2226,1910,490000,2018-07-18T00:00:00Z,2018,108
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,7373,3346,1920,775000,2018-03-30T00:00:00Z,2018,98
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,1659,1411,1915,765024,2018-06-19T00:00:00Z,2018,103
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,1659,1411,1915,264000,2018-06-19T00:00:00Z,2018,103
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,1000,1100,1901,346571,2018-01-04T00:00:00Z,2018,117
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,1510,1357,1915,210000,2017-10-24T00:00:00Z,2017,102
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,2500,1800,1925,439000,2017-12-18T00:00:00Z,2017,92
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,1658,1408,1901,437750,2018-01-26T00:00:00Z,2018,117
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,2500,936,1925,370000,2017-09-22T00:00:00Z,2017,92
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,2500,1208,1920,2900000,2018-03-26T00:00:00Z,2018,98
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10458,1,0,1,2242,1360,1920,677750,2018-05-03T00:00:00Z,2018,98
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10467,1,0,1,3773,3092,1925,520000,2017-11-02T00:00:00Z,2017,92
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10467,1,0,1,3065,1629,1965,475000,2017-11-15T00:00:00Z,2017,52
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10467,1,0,1,1642,1452,1945,380000,2017-11-21T00:00:00Z,2017,72
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10467,1,0,1,2500,1760,1925,329550,2018-01-23T00:00:00Z,2018,93
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10467,1,0,1,2500,1445,1925,250000,2018-01-15T00:00:00Z,2018,93
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,10467,1,0,1,2500,1956,1920,530000,2017-10-13T00:00:00Z,2017,97
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,1,2,6675,2996,1955,276000,2018-02-06T00:00:00Z,2018,63
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,1,2,6675,2996,1955,1450000,2018-08-30T00:00:00Z,2018,63
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,4525,2029,1925,835000,2018-04-27T00:00:00Z,2018,93
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,6569,1454,1899,1800000,2017-11-14T00:00:00Z,2017,118
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,1,2,2100,1944,1950,3550000,2018-04-18T00:00:00Z,2018,68
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,2500,1524,1925,410000,2018-03-15T00:00:00Z,2018,93
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,2500,1524,1925,7e+05,2018-08-10T00:00:00Z,2018,93
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,2500,1636,1925,342000,2018-01-17T00:00:00Z,2018,93
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2500,1143,1930,445000,2018-07-12T00:00:00Z,2018,88
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1306,1020,1950,408000,2018-05-21T00:00:00Z,2018,68
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1800,1690,1945,345000,2018-03-19T00:00:00Z,2018,73
